"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
7195.39651037959,7.94402765336358,1.04641921067123,7.59163017302392,3.15905584221416e-14,3.79086701065699e-13,"amtB"
4616.00687343753,1.44994789505409,0.843162506558328,1.71965413995052,0.085495328634771,0.093267631237932,"assimilatory nitrate reduction"
86.9033827595258,0.229435361144881,0.847101704558793,0.270847479010068,0.786508341207071,NA,"crp"
7507.2666619589,-1.73958893554242,0.823057250644528,-2.11356978409481,0.0345520288735802,0.0414624346482962,"denitrification (most)"
13508.2026538813,3.84053879057367,0.88759210876442,4.32691858416804,1.51209820569862e-05,2.26814730854793e-05,"glnA"
8400.29192756303,5.67335213655936,0.824033687219441,6.88485461765903,5.78465808427438e-12,3.47079485056463e-11,"glnB"
364.560835773487,5.99371384264124,1.05445454085215,5.68418420181251,1.31438552164757e-08,3.15452525195417e-08,"glnD"
2613.85841474476,6.05394605777567,0.939218310651039,6.4457283137711,1.15046592160439e-10,4.60186368641756e-10,"glnK"
3662.54873949452,3.46976826886902,0.909680078587313,3.81427311704726,0.00013658435169423,0.00018211246892564,"gltB"
1901.54353948747,5.27432709948729,1.03782102833973,5.08211623725239,3.73252876414181e-07,6.39862073852882e-07,"gltD"
14603.4311226093,-4.51035908427324,0.810490294841185,-5.56497605582932,2.6218840913986e-08,5.2437681827972e-08,"nitrification (all)"
351.644464771855,5.9979124439922,1.05399423332939,5.69065015189488,1.26556567690746e-08,3.15452525195417e-08,"NtrC-family"
259.958037274548,-0.603101643224378,1.01953194336338,-0.591547569598242,0.554153591931155,0.554153591931155,"rpoN"
