gene_or_category	expected_direction	observed_log2fc	observed_padj	direction_match	note
amtB	up	7.944	3.79e-13	TRUE
glnA	up	3.841	2.27e-05	TRUE
gltB	up	3.470	1.82e-04	TRUE
gltD	up	5.274	6.40e-07	TRUE
gltS	up	NA	NA	NOT_DETECTED	no eggNOG hit with Preferred_name=gltS in any of the 4 samples
glnD	up	5.994	3.15e-08	TRUE
glnB	up	5.673	3.47e-11	TRUE
glnK	up	6.054	4.60e-10	TRUE
NtrC-family	up	5.998	3.15e-08	TRUE	pooled eggNOG Preferred_name in {ntrC, glnG}
assimilatory nitrate reduction	up	1.450	9.33e-02	TRUE	direction matches; not significant at padj<0.05 (n=2/group)
nitrification (all)	down	-4.510	5.24e-08	TRUE	pooled NCycDB families amoA/amoB/amoC/hao/nxrB
denitrification (most)	down	-1.740	4.15e-02	TRUE	pooled NCycDB families narGHIJYZ/napABC/nirKS/norBC/nosZ
crp	down (slight, LFC<-1 in paper)	0.229	NA (padj)	FALSE	see README -- only mismatch, modest/non-significant in both this run and the original paper
rpoN	down (slight, LFC<-1 in paper)	-0.603	5.54e-01	TRUE	direction matches; magnitude weaker than paper's, not significant (n=2/group)
