tax_id	abundance	species	genus	family	order	class	phylum	domain	estimated counts
25587710	0.1345723793987136	Limosilactobacillus fermentum	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	6825.511083102754
919700925	0.027092714195464503	Listeria_A monocytogenes_B_319801	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	1374.1424639939596
1008998464	0.01813209770566774	Listeria_A marthii	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	919.6599956314677
594691402	0.10462035273769446	Listeria_A monocytogenes_B_319916	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	5306.344290855863
1453904119	0.09500832874633712	Enterococcus_H_360604 faecalis	Enterococcus_H_360604	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	4818.822434014219
4821424	0.049383683125078584	Salmonella bongori	Salmonella	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	2504.740408103986
697922065	0.08531154234681407	Bifidobacterium vaginale	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	4327.00142783041
1980547424	0.007890635005478035	Shigella boydii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	400.2130074778459
1700534098	0.1471314069640746	Bacillus_P_294101 spizizenii	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	7462.504961217864
53954447	0.0028532701096602984	Bacillus_P_294101 subtilis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	144.71785996197033
1135931242	0.024993698597563264	Pseudomonas_B_650326 paraeruginosa	Pseudomonas_B_650326	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	1267.6803928684087
1524293496	0.02680416217129909	Borrelia bissettiae	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	1359.5071053282898
