tax_id	abundance	
1453904119	0.09525231414505074	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_H_360604;s__Enterococcus_H_360604 faecalis
697922065	0.08519206586076479	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium vaginale
1008998464	0.0178940889951499	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A marthii
594691402	0.10650020097344	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A monocytogenes_B_319916
919700925	0.029335953904303293	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A monocytogenes_B_319801
25587710	0.13532477543140706	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum
172468710	0.14494112525763667	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus
1700534098	0.1439216324987321	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 spizizenii
671167758	0.006735702105712277	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 halotolerans
53954447	0.0030690076454675413	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 subtilis
1083756244	0.013257121131761088	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia ruysiae
4821424	0.049917139026974554	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Salmonella;s__Salmonella bongori
1155214706	0.0011872460767098714	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia fergusonii
2087647928	0.006263918393986164	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia albertii
1980547424	0.007864486602337795	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella boydii
1524293496	0.024933718040010374	k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borrelia bissettiae
249674484	0.0005503011565618494	k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borreliella garinii
1135931242	0.024384244586755484	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales_A_650611;f__Pseudomonadaceae;g__Pseudomonas_B_650326;s__Pseudomonas_B_650326 paraeruginosa
503474378	0.001635260140464386	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
1723148556	0.06429159597840117	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium adolescentis
382293794	0.019500060883330145	k__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales_778489;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
1102215101	0.00020720787017897732	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A seeligeri
2044984071	0.001366352289696187	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 velezensis
1534274278	0.0005390838379744044	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus
1005789060	0.0018439780989823115	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus simiae
1446833230	0.01047406391194491	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella sonnei
561101225	0.0003912570288110008	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella flexneri
477813944	0.0002783237947085605	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Klebsiella_724518;s__Klebsiella oxytoca
1969112428	0.0013865744537713233	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella dysenteriae
1965385813	0.00039463097695265775	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales_A_650611;f__Pseudomonadaceae;g__Pseudomonas_F_650324;s__Pseudomonas_F_650324 furukawaii
421731111	0.00019134760902464904	k__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A parvula
229406851	0.0002968070428189849	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Klebsiella_724518;s__Klebsiella granulomatis
973386507	0.00017395237184059003	k__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae
1267684071	0.0003131142693130621	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H_857956;s__Bacteroides_H_857956 fragilis
