tax_id	abundance	species	genus	family	order	class	phylum	domain	estimated counts
1453904119	0.09525231414505074	Enterococcus_H_360604 faecalis	Enterococcus_H_360604	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	5475.769783256532
697922065	0.08519206586076479	Bifidobacterium vaginale	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	4897.436290137785
1008998464	0.0178940889951499	Listeria_A marthii	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	1028.6774940641822
594691402	0.10650020097344	Listeria_A monocytogenes_B_319916	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	6122.3770533601455
919700925	0.029335953904303293	Listeria_A monocytogenes_B_319801	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	1686.4359820966833
25587710	0.13532477543140706	Limosilactobacillus fermentum	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	7779.415365225297
172468710	0.14494112525763667	Staphylococcus argenteus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	8332.230467685758
1700534098	0.1439216324987321	Bacillus_P_294101 spizizenii	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	8273.622887454612
671167758	0.006735702105712277	Bacillus_P_294101 halotolerans	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	387.2153069510817
53954447	0.0030690076454675413	Bacillus_P_294101 subtilis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	176.42804251499254
1083756244	0.013257121131761088	Escherichia ruysiae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	762.1121225015497
4821424	0.049917139026974554	Salmonella bongori	Salmonella	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	2869.586571243686
1155214706	0.0011872460767098714	Escherichia fergusonii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	68.25121521182038
2087647928	0.006263918393986164	Escherichia albertii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	360.0938767150826
1980547424	0.007864486602337795	Shigella boydii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	452.1057413085928
1524293496	0.024933718040010374	Borrelia bissettiae	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	1433.3646489660764
249674484	0.0005503011565618494	Borreliella garinii	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	31.635162587271036
1135931242	0.024384244586755484	Pseudomonas_B_650326 paraeruginosa	Pseudomonas_B_650326	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	1401.7770685588125
503474378	0.001635260140464386	Enterococcus_B faecium	Enterococcus_B	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	94.00619969487616
1723148556	0.06429159597840117	Bifidobacterium adolescentis	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	3695.930978010348
382293794	0.019500060883330145	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales_778489	Chlamydiia	Chlamydiota	Bacteria	1121.0
1102215101	0.00020720787017897732	Listeria_A seeligeri	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	11.911758832978869
2044984071	0.001366352289696187	Bacillus_P_294101 velezensis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	78.5474940777647
1534274278	0.0005390838379744044	Staphylococcus haemolyticus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	30.990312593634584
1005789060	0.0018439780989823115	Staphylococcus simiae	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	106.00476897619615
1446833230	0.01047406391194491	Shigella sonnei	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	602.1225121059771
561101225	0.0003912570288110008	Shigella flexneri	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	22.492192815258
477813944	0.0002783237947085605	Klebsiella oxytoca	Klebsiella_724518	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	15.999999986411016
1969112428	0.0013865744537713233	Shigella dysenteriae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	79.71000562395206
1965385813	0.00039463097695265775	Pseudomonas_F_650324 furukawaii	Pseudomonas_F_650324	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	22.686150972077435
421731111	0.00019134760902464904	Veillonella_A parvula	Veillonella_A	Veillonellaceae	Veillonellales	Negativicutes	Bacillota_C	Bacteria	11.0
229406851	0.0002968070428189849	Klebsiella granulomatis	Klebsiella_724518	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	17.062546470534986
973386507	0.00017395237184059003	Faecalibacterium duncaniae	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia_258483	Bacillota_A_368345	Bacteria	10.0
1267684071	0.0003131142693130621	Bacteroides_H_857956 fragilis	Bacteroides_H_857956	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	18.0
464221415	0.00019134760902464904	Prevotella corporis	Prevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	11.0
unmapped	0.0								1212.0
mapped_unclassified	0.0								87.0
