name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kerstersia gyiorum	206506	S	10	53	63	0.00000
Bradyrhizobium sp. WCU1	3457316	S	21	66	87	0.00000
Saccharomyces cerevisiae	4932	S	243302	24185	267487	0.00594
Saccharomyces paradoxus	27291	S	1046	20	1066	0.00002
Saccharomyces eubayanus	1080349	S	464	75	539	0.00001
Saccharomyces mikatae	114525	S	222	5	227	0.00001
Saccharomyces kudriavzevii	114524	S	89	93	182	0.00000
Zygotorulaspora mrakii	42260	S	141	17	158	0.00000
Yamadazyma tenuis	2315449	S	10	1	11	0.00000
Cryptococcus deneoformans	40410	S	110	4	114	0.00000
Cryptococcus neoformans	5207	S	70	2	72	0.00000
Homo sapiens	9606	S	1031	160	1191	0.00003
Juglans regia	51240	S	1351	1071	2422	0.00005
Alnus glutinosa	3517	S	21	44	65	0.00000
Cajanus cajan	3821	S	49	26	75	0.00000
Phaseolus vulgaris	3885	S	27	8	35	0.00000
Vicia villosa	3911	S	27	4	31	0.00000
Cicer arietinum	3827	S	23	5	28	0.00000
Arachis stenosperma	217475	S	36	27	63	0.00000
Euphorbia lathyris	212925	S	16	8	24	0.00000
Cucurbita pepo	3663	S	27	17	44	0.00000
Gossypium hirsutum	3635	S	101	34	135	0.00000
Brassica rapa	3711	S	39	94	133	0.00000
Punica granatum	22663	S	43	30	73	0.00000
Vitis riparia	96939	S	22	29	51	0.00000
Lycium ferocissimum	112874	S	15	93	108	0.00000
Capsicum annuum	4072	S	19	11	30	0.00000
Salvia splendens	180675	S	56	38	94	0.00000
Salvia miltiorrhiza	226208	S	16	8	24	0.00000
Primulina eburnea	1245227	S	10	2	12	0.00000
Camellia sinensis	4442	S	111	264	375	0.00001
Diospyros lotus	55363	S	19	2	21	0.00000
Apium graveolens	4045	S	25	5	30	0.00000
Malania oleifera	397392	S	122	10	132	0.00000
Amaranthus tricolor	29722	S	50	90	140	0.00000
Panicum hallii	206008	S	33	3	36	0.00000
Hordeum vulgare	4513	S	20	13	33	0.00000
Musa acuminata	4641	S	37	134	171	0.00000
Asparagus officinalis	4686	S	75	8	83	0.00000
Papaver somniferum	3469	S	42	4	46	0.00000
Macadamia integrifolia	60698	S	36	16	52	0.00000
Cryptomeria japonica	3369	S	128	60	188	0.00000
Plasmodium cynomolgi	5827	S	30	0	30	0.00000
