run_accession	sample_title	fastq_ftp	fastq_bytes	fastq_md5
SRR20326890	Escherichia coli, Day 15, Pu-239, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/090/SRR20326890/SRR20326890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/090/SRR20326890/SRR20326890_2.fastq.gz	1089886952;1177916426	554be7af24c7102797c977b1bcd4a330;fb00e6e1f8e426c408ff53da48377ec1
SRR20326874	Escherichia coli, Day 15, FeCl3 Control, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/074/SRR20326874/SRR20326874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/074/SRR20326874/SRR20326874_2.fastq.gz	2266385841;2284670889	c3a23f003e787bac72971305bb70e66c;9225dea059dcd2b5c5dc2af85dc5353f
SRR20326878	Escherichia coli, Day 15, Fe-55, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/078/SRR20326878/SRR20326878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/078/SRR20326878/SRR20326878_2.fastq.gz	456059740;473072619	e7a695cb9a6eaaeba856ea0598cfb040;90ff50de2a9b3860462840e8cfc55dfa
SRR20326881	Escherichia coli, Day 1, Fe-55, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/081/SRR20326881/SRR20326881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/081/SRR20326881/SRR20326881_2.fastq.gz	919329564;931560591	cf78d2bc0fddb823c9a128fbd9d51684;e70a9c16de05ce08c1e3ff4826474a5d
SRR20326891	Escherichia coli, Day 15, Pu-239, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/091/SRR20326891/SRR20326891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/091/SRR20326891/SRR20326891_2.fastq.gz	1124638768;1211979858	cfecd6d1f276debc19358a39b2ffcf44;8fdd8c97e0e9ec009c47b12687e5c202
SRR20326892	Escherichia coli, Day 15, Pu-239, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/092/SRR20326892/SRR20326892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/092/SRR20326892/SRR20326892_2.fastq.gz	1179065543;1276506762	7727602cbf7d9435ab6695e50934b663;5803b1b891a10ff3431005c84d0e3951
SRR20326897	Escherichia coli, Day 15, Control, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/097/SRR20326897/SRR20326897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/097/SRR20326897/SRR20326897_2.fastq.gz	2078727822;2242355399	d03d1ddfca7a8bdae9961e3016d33d94;cf9879d0d26350422a07ccc913829717
SRR20326898	Escherichia coli, Day 15, Control, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/098/SRR20326898/SRR20326898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/098/SRR20326898/SRR20326898_2.fastq.gz	1444123530;1551072386	9f6f8e9b9347abf8a6d2cf45d1531905;28a89b625a84b724d2da4b7ca0c0f6f3
SRR20326901	Escherichia coli, Day 1, Control, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR20326901/SRR20326901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR20326901/SRR20326901_2.fastq.gz	959681967;941794363	2666cbcc93235ed7a499d3e347926c7c;a578c5aa6e590628812479ca04d93042
SRR20326879	Escherichia coli, Day 15, Fe-55, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/079/SRR20326879/SRR20326879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/079/SRR20326879/SRR20326879_2.fastq.gz	395085667;423436249	e286eeccc107c695d479b0860340a6e2;b0fe408a6bbc3532e3ea2e36b11140e4
SRR20326883	Escherichia coli, Day 1, Fe-55, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/083/SRR20326883/SRR20326883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/083/SRR20326883/SRR20326883_2.fastq.gz	1726119239;1754436415	f7ef019057959b72731d05ca11346a52;f2951507beee6c7ea2b223909897170a
SRR20326889	Escherichia coli, Day 1, H-3, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/089/SRR20326889/SRR20326889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/089/SRR20326889/SRR20326889_2.fastq.gz	1523463885;1515433545	36444cadd9842a6901a73b6ae8f31503;e58061411d9451e6987719bef2b9dde8
SRR20326895	Escherichia coli, Day 1, Pu-239, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/095/SRR20326895/SRR20326895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/095/SRR20326895/SRR20326895_2.fastq.gz	1234981129;1328412999	c6969d865ec6533cd211ec74aaab9dcb;9894d1437e1806fab273ca43d8df8014
SRR20326896	Escherichia coli, Day 15, Control, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/096/SRR20326896/SRR20326896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/096/SRR20326896/SRR20326896_2.fastq.gz	1028482779;1122239781	45788671974e449b5591d386ca283ad4;a2b414b124711343aa48c240d39cfea2
