locus_tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IODOLM_00014	30755.7429281423	4.03904550293685	0.128422611902176	31.4512019582154	4.04174253858844e-217	8.84333267443151e-214
IODOLM_00015	3266.70733243253	2.83694157917841	0.145840460118013	19.4523630608597	2.7830517239884e-84	3.0446585860433e-82
IODOLM_00017	45.2576954221864	3.4296015028076	0.418146080980082	8.20192190913053	2.36573963363329e-16	1.53825804409796e-15
IODOLM_00112	81.2390301928225	2.55765658685624	0.311997292330858	8.19768840860314	2.4505354728285e-16	1.58632296288425e-15
IODOLM_00113	22.0378551237083	2.36863123975604	0.53092417619052	4.46133618693239	8.1450195771614e-06	2.24449657869385e-05
IODOLM_00114	22.6104464803474	2.61427524187752	0.485927832277177	5.37996605303793	7.44998857323722e-08	2.5155208330622e-07
IODOLM_00115	22.9396048194794	3.00648727594721	0.546184658658115	5.50452530712534	3.70164288594683e-08	1.28456695233175e-07
IODOLM_00118	5.5933073866676	2.12701093248608	0.84798504144833	2.50831185518699	0.0121309551442983	0.0211747346276224
IODOLM_00133	7.7604030480113	2.8540607268435	0.833523016692902	3.4240934799465	0.000616853981156827	0.00132907583532362
IODOLM_00140	217.440749516104	-2.28332654523312	0.319887308532957	-7.13790914589496	9.4761227741952e-13	4.79393216877205e-12
IODOLM_00185	12198.6612647912	-2.6557947570279	0.197439766939414	-13.4511643636757	3.03062205871563e-41	7.40893973683776e-40
IODOLM_00191	7.05961265180536	2.50213832981972	0.878726803904172	2.84745875362257	0.00440698045889274	0.00835207730104574
IODOLM_00192	7.88841300697384	2.99306426798117	0.810676165058256	3.69205904526141	0.000222445802739927	0.000510179681755723
IODOLM_00206	166.514452550779	3.74421654127443	0.2795636080892	13.3930756111853	6.63741900051271e-41	1.57001867817533e-39
IODOLM_00207	49.2066250110977	2.97934366457219	0.366435830403494	8.13060136966285	4.27165914146062e-16	2.71303053745017e-15
IODOLM_00208	34.2353863047119	2.71756338485648	0.460558851649065	5.90057790687562	3.62230523730598e-09	1.38559508028417e-08
IODOLM_00209	8.78030168187106	2.85532409958274	0.801276306555144	3.56347002428961	0.000365984505078395	0.00081338151052466
IODOLM_00227	33.7549364105665	2.27370175287697	0.444893044410676	5.11067048910331	3.21017465760053e-07	1.02838391666617e-06
IODOLM_00261	1569.57165057842	3.9319589255867	0.212642511761815	18.4909352932727	2.44280618275151e-76	2.13794397114412e-74
IODOLM_00268	981.516988108188	3.20401191405947	0.199748720760873	16.0402124321743	6.69250425704589e-58	3.57151202790644e-56
IODOLM_00272	15.5115754794515	2.66580102176191	0.596436234973423	4.46954907406103	7.83846738842662e-06	2.16410935594668e-05
IODOLM_00273	56.350978747602	2.85988564972281	0.357601953587257	7.99739940186034	1.27074519645984e-15	7.78820865505361e-15
IODOLM_00274	17.8041495276033	2.32024960984891	0.79224166108367	2.92871446153835	0.00340366937578577	0.00659630522074338
IODOLM_00275	64.5011728804867	2.86518112319593	0.426937412363365	6.71100971764308	1.9328223504902e-11	8.73763492329039e-11
IODOLM_00276	374.662073106487	4.14016991090873	0.290254967159589	14.263907182792	3.67300627709217e-46	1.13404001542056e-44
IODOLM_00277	7.40222888720283	2.61551744652449	0.936455766211539	2.79299625342225	0.00522222967919724	0.00975351134279433
IODOLM_00284	33.7147872542999	2.67121010791276	0.408421380429471	6.54032877785163	6.13837378640303e-11	2.65955680092076e-10
IODOLM_00285	62.2741434446351	2.46152761382833	0.380655713785185	6.46654581735093	1.00268435384191e-10	4.2849089183713e-10
IODOLM_00288	52.2597601166836	3.92161967360488	0.42429490308678	9.2426744820048	2.40411491163129e-20	1.98873475487685e-19
IODOLM_00289	2012.48529243719	3.88480784068843	0.153034649125918	25.3851520742338	3.67888109376404e-142	2.01234795828893e-139
IODOLM_00290	2491.55073939845	3.3116750877935	0.168725028648977	19.6276457281466	8.97793625359276e-86	1.03388023804531e-83
IODOLM_00291	1347.88215583973	3.21714249601311	0.183754748840952	17.5078060093984	1.24916620770019e-68	8.81669568531618e-67
IODOLM_00292	2601.71240624679	3.08833116457458	0.147286772631679	20.9681501562778	1.28150590541865e-97	2.15687301619692e-95
IODOLM_00293	200.467694245213	2.01586909325582	0.187105016099493	10.7739981283232	4.56727138879008e-27	5.56723665664217e-26
IODOLM_00300	386.910276318014	-2.14957934790241	0.149737940849271	-14.3556091108947	9.82584246840315e-47	3.11578888708204e-45
IODOLM_00305	8.75755418045864	3.26901028363996	0.796048531583383	4.10654646537406	4.01618701296223e-05	0.00010129587532405
IODOLM_00330	259.5295235736	-2.19222780047081	0.264683134953645	-8.28246121859912	1.20655256992421e-16	7.98770657486888e-16
IODOLM_00337	6.57442363818543	2.47840656203647	0.796755165341208	3.1106250324403	0.0018669184004038	0.00373213107362587
