locus_tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IODOLM_00714	12562.9626233557	-4.40322409125339	0.120061321034049	-36.674792958547	1.84259506151031e-294	8.0631959891691e-291
IODOLM_00014	30755.7429281423	4.03904550293685	0.128422611902176	31.4512019582154	4.04174253858844e-217	8.84333267443151e-214
IODOLM_04194	2590.21733671604	5.11839200903549	0.176094632480456	29.0661443619161	9.62060992830057e-186	1.40332630154144e-182
IODOLM_04195	12380.2837768266	4.01539450448938	0.141295732327809	28.4183707344647	1.19913719325708e-177	1.31185608942325e-174
IODOLM_01452	1076.97161356444	6.23067494039697	0.222375975113192	28.0186514628007	9.62991736637296e-173	8.42810367904962e-170
IODOLM_00399	1904.96858765923	-3.43852772499291	0.125337964648736	-27.4340478930666	1.07696611081672e-165	7.85467283488993e-163
IODOLM_02232	3364.54541995462	3.54432239935582	0.135969256042474	26.0670867997442	8.6134565685549e-150	5.38464084914232e-147
IODOLM_00289	2012.48529243719	3.88480784068843	0.153034649125918	25.3851520742338	3.67888109376404e-142	2.01234795828893e-139
IODOLM_01379	699.190596626754	4.87521767293848	0.19379293834314	25.1568386062973	1.18954222862691e-139	5.7838186583015e-137
IODOLM_03134	1357.82896739139	3.53984343433154	0.142746966706994	24.7980290999634	9.41471494212853e-136	4.11987925867544e-133
IODOLM_04383	1171.36726094192	-2.82538803584303	0.115907499695157	-24.3762314196575	3.05641381020052e-131	1.21589698485795e-128
IODOLM_00812	911.313475685	3.58745353085968	0.148049759446307	24.2314039838798	1.03859696696558e-129	3.78741693953447e-127
IODOLM_01378	959.710605666529	4.60682361386263	0.19259416961107	23.9198498228985	1.90384161070279e-126	6.40862376033492e-124
IODOLM_03363	10973.9837719123	2.63056596828991	0.111698486682647	23.5505963099013	1.23781859059797e-122	3.86906725175478e-120
IODOLM_04168	668.024336319124	5.81564515323673	0.250206011577506	23.2434269527342	1.65785002376655e-119	4.83650113600162e-117
IODOLM_03570	1377.21703285162	3.71494771152763	0.162480136540211	22.864011507082	1.06026117520268e-115	2.89981431417933e-113
IODOLM_04192	827.637794352424	4.0448855035764	0.179218602787955	22.5695627610832	8.62950129658472e-113	2.22133515728557e-110
IODOLM_01548	446.328434121485	4.92727782310206	0.219420068444793	22.4559123421374	1.12033431847499e-111	2.72365720980365e-109
IODOLM_00816	764.426669279351	4.58172491138157	0.207189513341493	22.1136911684806	2.33380186931467e-108	5.37511420006368e-106
IODOLM_03804	20313.2601773488	-4.41149593856584	0.200044660492962	-22.0525553028747	9.02796246269487e-108	1.97531818683764e-105
IODOLM_02029	447.383377935604	5.33425711248383	0.247634901112631	21.5408130619588	6.45636503508934e-103	1.345383494931e-100
IODOLM_00815	896.725548563163	3.84845623958421	0.17974983242085	21.41006858117	1.07654155275095e-101	2.04823731949486e-99
IODOLM_00904	608.107521778717	3.85513824202033	0.180054498073	21.4109521465958	1.05632400433475e-101	2.04823731949486e-99
IODOLM_01375	1339.77305085874	4.37600679257451	0.205538825360454	21.2904145233889	1.39290516479671e-100	2.53973041714601e-98
IODOLM_04381	2978.70148460078	2.8500343301764	0.134542177756876	21.183203495684	1.36431553690444e-99	2.38809791579754e-97
IODOLM_00292	2601.71240624679	3.08833116457458	0.147286772631679	20.9681501562778	1.28150590541865e-97	2.15687301619692e-95
IODOLM_03746	2523.14965354001	3.55724784029505	0.172777236546942	20.5886372035391	3.46992080257323e-94	5.62384201187424e-92
IODOLM_00439	1484.10799561035	-2.35437323456273	0.114865732455785	-20.4967415801662	2.30200935892736e-93	3.59771176952362e-91
IODOLM_02034	1689.91356136301	-4.26930011704505	0.208771442641626	-20.4496365164927	6.05245041867536e-93	9.13293897659427e-91
IODOLM_04029	28823.368164427	2.39653845846235	0.117387833326807	20.4155608851762	1.21627345548973e-92	1.77413754707436e-90
IODOLM_02369	1255.40877895376	2.7676985294609	0.135587934701645	20.4125723690025	1.29297415133483e-92	1.82517899556169e-90
IODOLM_00814	1676.68515324697	3.5681127892972	0.17582484344937	20.2935644320631	1.46573378023594e-91	2.00439094447265e-89
IODOLM_03116	1873.81657829096	-2.23723314545768	0.111882148210489	-19.9963370496664	5.92689011883817e-89	7.85941550304116e-87
IODOLM_03602	1456.25136782336	4.23332017486341	0.21410220992407	19.7724263395727	5.14414913040298e-87	6.6208225278363e-85
IODOLM_04028	14201.4356786612	2.47235645248792	0.125432333626891	19.7106789055057	1.7460865859684e-86	2.18310711434221e-84
IODOLM_01173	7307.69013012538	3.07305115686973	0.15600896086918	19.6979144002286	2.24686779269196e-86	2.73119262800557e-84
IODOLM_02894	6083.23466825498	-2.61412719495664	0.132963248693248	-19.6605243978924	4.69845391411439e-86	5.55687414274718e-84
IODOLM_00290	2491.55073939845	3.3116750877935	0.168725028648977	19.6276457281466	8.97793625359276e-86	1.03388023804531e-83
IODOLM_01059	1618.7119311709	3.77382384962859	0.192435812409879	19.6108188094975	1.25003237062466e-85	1.40260042406501e-83
IODOLM_00015	3266.70733243253	2.83694157917841	0.145840460118013	19.4523630608597	2.7830517239884e-84	3.0446585860433e-82
IODOLM_02358	1438.81942876657	3.87402851169159	0.199327916025071	19.4354538438275	3.86976753261228e-84	4.13026895675886e-82
IODOLM_01701	1782.73163907306	3.39994086266796	0.17500868866834	19.4272689461219	4.5387750381818e-84	4.72897132549608e-82
IODOLM_02292	9500.10109885487	2.93039687615606	0.150928797523646	19.4157571267799	5.67927590542676e-84	5.77965380515058e-82
IODOLM_00925	1554.17606454166	-2.63440879947685	0.13755965628802	-19.1510277836182	9.4895299412727e-82	9.43776886886576e-80
IODOLM_01380	585.00487835645	4.16138046771129	0.218597625429106	19.0367139603759	8.46764068195012e-81	8.23431013871416e-79
IODOLM_01991	3295.12728381587	-2.63461031626668	0.139885268548905	-18.8340798398339	3.96966534021574e-79	3.77635989756175e-77
IODOLM_02659	13492.0316603829	3.44645748413743	0.183891284289853	18.7418207309111	2.25768369135378e-78	2.10204762412003e-76
IODOLM_03365	15619.9564523228	3.10363550733735	0.16635272030067	18.6569567466511	1.10868170168907e-77	1.01074815137321e-75
IODOLM_03912	3672.85654276361	-1.99534458148933	0.107094093025315	-18.6316959705487	1.77799975466956e-77	1.58786263804776e-75
IODOLM_00261	1569.57165057842	3.9319589255867	0.212642511761815	18.4909352932727	2.44280618275151e-76	2.13794397114412e-74
IODOLM_02886	3569.78175864423	-2.55792189060111	0.138681595403847	-18.4445663691158	5.76597051216664e-76	4.94742881592965e-74
IODOLM_04363	360.750995913962	3.5139835397443	0.192701828156933	18.2353409583773	2.70561457142944e-74	2.27687872395678e-72
